"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c415 a0 o1 t415",0.7672763,0.0178844,0.7304068,0.8004809,"     ","       "
"S sA g1 c415 a22 o23 t437",0.8675256,0.0117605,0.8427302,0.888927,"     ","       "
"S sB g1 c415 a0 o1 t415",0.9160451,0,0.9160451,0.9160451,"     ","       "
"S sB g1 c415 a22 o23 t437",0.9021561,0.0129176,0.873756,0.9247177,"     ","       "
"S sC g1 c415 a0 o1 t415",0.1122835,0.3559248,0.0001154638,0.9928338,"     ","       "
"S sC g1 c415 a22 o23 t437",0.8606261,0.0134823,0.8320457,0.8850151,"     ","       "
"p sA g1 c415 a1 o1 t416",0.6076513,0.0113036,0.5852886,0.6295713,"     ","       "
"Psi sA toB g1 c415 a0 o1 t415",4.487815e-07,5.193405e-05,1.403255e-105,1,"     ","       "
"Psi sA toB g1 c415 a22 o23 t437",0.0028512,0.0020194,0.0007101266,0.011374,"     ","       "
"Psi sA toC g1 c415 a0 o1 t415",0.0080366,0.0054807,0.0021012,0.0302307,"     ","       "
"Psi sA toC g1 c415 a22 o23 t437",0.0128133,0.0044355,0.0064856,0.0251583,"     ","       "
"Psi sB toA g1 c415 a0 o1 t415",0.3312265,0,0.3312265,0.3312265,"     ","       "
"Psi sB toA g1 c415 a22 o23 t437",0.0087316,0.0043522,0.0032768,0.0230567,"     ","       "
"Psi sB toC g1 c415 a0 o1 t415",0.9905236,0,0.9905236,0.9905236,"     ","       "
"Psi sB toC g1 c415 a22 o23 t437",0.0060004,0.0036214,0.001833,0.0194578,"     ","       "
"Psi sC toA g1 c415 a0 o1 t415",0.0049252,0.1620923,3.482965e-31,1,"     ","       "
"Psi sC toA g1 c415 a22 o23 t437",0.015126,0.0053016,0.0075876,0.0299281,"     ","       "
"Psi sC toB g1 c415 a0 o1 t415",0.0016945,0.0913765,1.773061e-49,1,"     ","       "
"Psi sC toB g1 c415 a22 o23 t437",0.0018018,0.0018007,0.0002535932,0.012682,"     ","       "
