"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c437 a0 o1 t437",0.8590719,0.0124458,0.8328712,0.8817483,"     ","       ",315
"S sB g1 c437 a0 o1 t437",0.9020812,0.012923,0.8736709,0.9246533,"     ","       ",315
"S sC g1 c437 a0 o1 t437",0.8604549,0.0134722,0.8319008,0.8848301,"     ","       ",315
"p sA g1 c437 a1 o1 t438",0.6082045,0.012683,0.583085,0.6327638,"     ","       ",315
"Psi sA toB g1 c437 a0 o1 t437",0.0030528,0.0021604,0.0007611371,0.0121603,"     ","       ",315
"Psi sA toC g1 c437 a0 o1 t437",0.0128126,0.0045081,0.006413,0.025435,"     ","       ",315
"Psi sB toA g1 c437 a0 o1 t437",0.0087047,0.0043413,0.0032649,0.0229989,"     ","       ",315
"Psi sB toC g1 c437 a0 o1 t437",0.0060114,0.0036214,0.0018404,0.0194515,"     ","       ",315
"Psi sC toA g1 c437 a0 o1 t437",0.0149833,0.0052615,0.0075065,0.0296849,"     ","       ",315
"Psi sC toB g1 c437 a0 o1 t437",0.0018038,0.0018024,0.0002539653,0.0126914,"     ","       ",315
