"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c437 a0 o1 t437",0.4614763,0.0925114,0.2923451,0.6399668,"     ","       ",66
"S sB g1 c437 a0 o1 t437",1,0,1,1,"     ","       ",66
"S sC g1 c437 a0 o1 t437",0.6501104,0.0891093,0.4629932,0.8001684,"     ","       ",66
"p sA g1 c437 a1 o1 t438",0.3356966,5.255566e-06,0.3356863,0.3357069,"     ","       ",66
"Psi sA toB g1 c437 a0 o1 t437",0.6042969,0.1540511,0.301682,0.8437111,"     ","       ",66
"Psi sA toC g1 c437 a0 o1 t437",2.213515e-09,1.464973e-05,-2.871126e-05,2.871569e-05,"     ","       ",66
"Psi sB toA g1 c437 a0 o1 t437",0.9992412,9.912963e-07,0.9992393,0.9992432,"     ","       ",66
"Psi sB toC g1 c437 a0 o1 t437",0.5060951,6.545696e-06,0.5060823,0.506108,"     ","       ",66
"Psi sC toA g1 c437 a0 o1 t437",2.823118e-09,1.440784e-05,-2.823654e-05,2.824218e-05,"     ","       ",66
"Psi sC toB g1 c437 a0 o1 t437",0.3247312,0.1812182,0.0869151,0.7084094,"     ","       ",66
