"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"17","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,3849.1856177888,0,0.174862006997275,3150.0409
"16","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,3849.81707288136,0.631455092553551,0.127519537116788,3160.7859
"20","~-1 + stratum","~1","~-1 + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + after_switch)",5,3849.81707288136,0.631455092553551,0.127519537116788,3160.7859
"7","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",11,3851.21693404255,2.0313162537509,0.06332872416801,3150.0409
"18","~-1 + stratum","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",11,3851.21693404255,2.0313162537509,0.06332872416801,3150.0409
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,3851.67081082803,2.48519303922376,0.0504710856951077,3156.5801
"22","~-1 + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",8,3851.67081082803,2.48519303922376,0.0504710856951077,3156.5801
"6","~-1 + stratum + after_switch","~1","~1","S(~-1 + stratum + after_switch)p(~1)Psi(~1)",6,3851.8340639576,2.64844616879509,0.0465149630581207,3160.7859
"10","~-1 + stratum + after_switch","~1","~-1 + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + after_switch)",6,3851.8340639576,2.64844616879509,0.0465149630581207,3160.7859
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,3852.06162524683,2.87600745802411,0.0415124508371908,3167.0559
"5","~1","~1","~-1 + after_switch","S(~1)p(~1)Psi(~-1 + after_switch)",3,3852.06162524683,2.87600745802411,0.0415124508371908,3167.0559
"21","~-1 + after_switch","~1","~1","S(~-1 + after_switch)p(~1)Psi(~1)",3,3852.06162524683,2.87600745802411,0.0415124508371908,3167.0559
"25","~-1 + after_switch","~1","~-1 + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + after_switch)",3,3852.06162524683,2.87600745802411,0.0415124508371908,3167.0559
"8","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",12,3853.25113364088,4.06551585207808,0.0229023426713279,3150.0409
"3","~1","~1","~-1 + stratum:tostratum + after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,3853.69637875354,4.51076096473935,0.0183314222286153,3156.5801
"23","~-1 + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,3853.69637875354,4.51076096473935,0.0183314222286153,3156.5801
"12","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum)",13,3855.28822272727,6.10260493847045,0.0082704974815468,3150.0409
"11","~-1 + stratum * after_switch","~1","~1","S(~-1 + stratum * after_switch)p(~1)Psi(~1)",8,3855.87661082803,6.69099303922349,0.00616261137244484,3160.7859
"15","~-1 + stratum * after_switch","~1","~-1 + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + after_switch)",8,3855.87661082803,6.69099303922349,0.00616261137244484,3160.7859
"13","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",14,3857.32820746269,8.14258967388469,0.00298232230643041,3150.0409
"19","~-1 + stratum","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",17,3863.4655974359,14.2799796470954,0.000138623633329039,3150.0409
"9","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",18,3865.51722672844,16.3316089396371,4.96971675527647e-05,3150.0409
"4","~1","~1","~-1 + stratum:tostratum * after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,3865.9102940256,16.7246762368027,4.08298851320707e-05,3156.5801
"24","~-1 + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,3865.9102940256,16.7246762368027,4.08298851320707e-05,3156.5801
"14","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",20,3869.62927173448,20.4436539456733,6.35934533668492e-06,3150.0409
