"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"16","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,3706.03045124378,0,0.154600462612683,2245.5901
"20","~-1 + stratum","~1","~-1 + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + after_switch)",5,3706.03045124378,0,0.154600462612683,2245.5901
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,3706.31776754967,0.287316305887998,0.133912416162263,2249.9074
"5","~1","~1","~-1 + after_switch","S(~1)p(~1)Psi(~-1 + after_switch)",3,3706.31776754967,0.287316305887998,0.133912416162263,2249.9074
"21","~-1 + after_switch","~1","~1","S(~-1 + after_switch)p(~1)Psi(~1)",3,3706.31776754967,0.287316305887998,0.133912416162263,2249.9074
"25","~-1 + after_switch","~1","~-1 + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + after_switch)",3,3706.31776754967,0.287316305887998,0.133912416162263,2249.9074
"6","~-1 + stratum + after_switch","~1","~1","S(~-1 + stratum + after_switch)p(~1)Psi(~1)",6,3708.05040954357,2.0199582997875,0.0563095967829131,2245.5901
"10","~-1 + stratum + after_switch","~1","~-1 + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + after_switch)",6,3708.05040954357,2.0199582997875,0.0563095967829131,2245.5901
"11","~-1 + stratum * after_switch","~1","~1","S(~-1 + stratum * after_switch)p(~1)Psi(~1)",8,3712.10040074813,6.06994950434864,0.00743255277394366,2245.5901
"15","~-1 + stratum * after_switch","~1","~-1 + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + after_switch)",8,3712.10040074813,6.06994950434864,0.00743255277394366,2245.5901
"17","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,3712.45948068276,6.42902943898343,0.00621104655410409,2241.8857
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,3712.60360074813,6.57314950434875,0.00577922376119537,2246.0933
"22","~-1 + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",8,3712.60360074813,6.57314950434875,0.00577922376119537,2246.0933
"7","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",11,3714.4963,8.46584875621875,0.00224323663736635,2241.8857
"18","~-1 + stratum","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",11,3714.4963,8.46584875621875,0.00224323663736635,2241.8857
"3","~1","~1","~-1 + stratum:tostratum + after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,3714.63365041597,8.60319917219249,0.00209435272196518,2246.0933
"23","~-1 + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,3714.63365041597,8.60319917219249,0.00209435272196518,2246.0933
"8","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",12,3716.53651684737,10.5060656035917,0.000808812081903364,2241.8857
"12","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum)",13,3718.58013973289,12.5496884891072,0.000291125708800846,2241.8857
"13","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",14,3720.62717719298,14.5967259492013,0.00010460971582677,2241.8857
"19","~-1 + stratum","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",17,3726.78886281407,20.7584115702894,4.80373443303842e-06,2241.8857
"4","~1","~1","~-1 + stratum:tostratum * after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,3726.88523779264,20.8547865488613,4.57774323400227e-06,2246.0933
"24","~-1 + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,3726.88523779264,20.8547865488613,4.57774323400227e-06,2246.0933
"9","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",18,3728.84964450964,22.8191932658583,1.71429646938668e-06,2241.8857
"14","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",20,3732.98158967254,26.951138428763,2.17192807322142e-07,2241.8857
