"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,222.604129759036,0,0.495684261869072,133.31353
"22","~-1 + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",8,225.045909759036,2.44177999999999,0.146210761871193,135.75531
"17","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,225.156969382716,2.55283962367992,0.138313015293224,130.88526
"18","~-1 + stratum","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",11,226.89095,4.28682024096386,0.0581211156841235,130.03529
"7","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",11,226.96784,4.36371024096388,0.0559290562396158,130.11219
"23","~-1 + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,227.588901951219,4.98477219218336,0.0409992206966524,135.83812
"3","~1","~1","~-1 + stratum:tostratum + after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,227.682101951219,5.07797219218335,0.039132489643378,135.93133
"8","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",12,229.470007088608,6.86587732957145,0.0160065896476684,129.96499
"12","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum)",13,232.177756666667,9.57362690763051,0.00413350494239076,129.95544
"13","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",14,235.347135454545,12.7430056955093,0.000847415887417361,130.33694
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,235.462617272727,12.8584875136911,0.000799871170122537,157.63423
"5","~1","~1","~-1 + after_switch","S(~1)p(~1)Psi(~-1 + after_switch)",3,235.462617272727,12.8584875136911,0.000799871170122537,157.63423
"21","~-1 + after_switch","~1","~1","S(~-1 + after_switch)p(~1)Psi(~1)",3,235.462617272727,12.8584875136911,0.000799871170122537,157.63423
"25","~-1 + after_switch","~1","~-1 + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + after_switch)",3,235.462617272727,12.8584875136911,0.000799871170122537,157.63423
"16","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,236.392174418605,13.7880446595685,0.000502538424870885,154.13885
"20","~-1 + stratum","~1","~-1 + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + after_switch)",5,236.392174418605,13.7880446595685,0.000502538424870885,154.13885
"6","~-1 + stratum + after_switch","~1","~1","S(~-1 + stratum + after_switch)p(~1)Psi(~1)",6,238.682735294118,16.0786055350815,0.000159874905155622,154.13885
"10","~-1 + stratum + after_switch","~1","~-1 + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + after_switch)",6,238.682735294118,16.0786055350815,0.000159874905155622,154.13885
"4","~1","~1","~-1 + stratum:tostratum * after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,241.186749473684,18.5826197146481,4.57130848220028e-05,133.31531
"11","~-1 + stratum * after_switch","~1","~1","S(~-1 + stratum * after_switch)p(~1)Psi(~1)",8,243.429439759036,20.82531,1.48952062678874e-05,154.13885
"15","~-1 + stratum * after_switch","~1","~-1 + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + after_switch)",8,243.429439759036,20.82531,1.48952062678874e-05,154.13885
"24","~-1 + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,243.656399473684,21.0522697146481,1.32972809818777e-05,135.78496
"19","~-1 + stratum","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",17,244.95095027027,22.3468205112341,6.96072877963069e-06,131.12503
"9","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",18,247.091613013699,24.4874832546625,2.38679821038218e-06,130.16609
"14","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",20,253.272065915493,30.6679361564568,1.08579392656774e-07,129.88543
