"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,-6,0,0.0622720482740501,0
"5","~1","~1","~-1 + after_switch","S(~1)p(~1)Psi(~-1 + after_switch)",3,-6,0,0.0622720482740501,0
"21","~-1 + after_switch","~1","~1","S(~-1 + after_switch)p(~1)Psi(~1)",3,-6,0,0.0622720482740501,0
"25","~-1 + after_switch","~1","~-1 + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + after_switch)",3,-6,0,0.0622720482740501,0
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",4,-5.33333333333333,0.666666666666666,0.0446198723619194,0
"16","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",4,-5.33333333333333,0.666666666666666,0.0446198723619194,0
"20","~-1 + stratum","~1","~-1 + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + after_switch)",4,-5.33333333333333,0.666666666666666,0.0446198723619194,0
"22","~-1 + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",4,-5.33333333333333,0.666666666666666,0.0446198723619194,0
"3","~1","~1","~-1 + stratum:tostratum + after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",5,-5,1,0.0377699065213165,0
"6","~-1 + stratum + after_switch","~1","~1","S(~-1 + stratum + after_switch)p(~1)Psi(~1)",5,-5,1,0.0377699065213165,0
"10","~-1 + stratum + after_switch","~1","~-1 + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + after_switch)",5,-5,1,0.0377699065213165,0
"17","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",5,-5,1,0.0377699065213165,0
"23","~-1 + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",5,-5,1,0.0377699065213165,0
"7","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",6,-4.8,1.2,0.0341756246962076,0
"11","~-1 + stratum * after_switch","~1","~1","S(~-1 + stratum * after_switch)p(~1)Psi(~1)",6,-4.8,1.2,0.0341756246962076,0
"15","~-1 + stratum * after_switch","~1","~-1 + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + after_switch)",6,-4.8,1.2,0.0341756246962076,0
"18","~-1 + stratum","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",6,-4.8,1.2,0.0341756246962076,2.220446e-16
"4","~1","~1","~-1 + stratum:tostratum * after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",7,-4.66666666666667,1.33333333333333,0.0319715356211213,0
"8","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",7,-4.66666666666667,1.33333333333333,0.0319715356211213,0
"12","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum)",7,-4.66666666666667,1.33333333333333,0.0319715356211213,0
"24","~-1 + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",7,-4.66666666666667,1.33333333333333,0.0319715356211213,0
"13","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",8,-4.57142857142857,1.42857142857143,0.0304847618560892,0
"19","~-1 + stratum","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",8,-4.57142857142857,1.42857142857143,0.0304847618560892,2.220446e-16
"9","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",9,-4.5,1.5,0.0294152327753351,0
"14","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",10,-4.44444444444444,1.55555555555556,0.0286093870927104,0
