"plot","censusdate","numericdate","treatment","n"
4,2013-03-13,15.777,"CC",2
11,2013-03-13,15.777,"CC",1
14,2013-03-13,15.777,"CC",0
17,2013-03-13,15.777,"CC",1
6,2013-03-13,15.777,"EC",3
13,2013-03-13,15.777,"EC",3
18,2013-03-13,15.777,"EC",2
5,2013-03-13,15.777,"XC",3
7,2013-03-13,15.777,"XC",3
24,2013-03-13,15.777,"XC",0
4,2013-04-13,15.808,"CC",7
11,2013-04-13,15.808,"CC",6
14,2013-04-13,15.808,"CC",1
17,2013-04-13,15.808,"CC",5
6,2013-04-13,15.808,"EC",9
13,2013-04-13,15.808,"EC",4
18,2013-04-13,15.808,"EC",7
5,2013-04-13,15.808,"XC",3
7,2013-04-13,15.808,"XC",4
24,2013-04-13,15.808,"XC",1
4,2013-05-11,15.836,"CC",13
11,2013-05-11,15.836,"CC",6
14,2013-05-11,15.836,"CC",5
17,2013-05-11,15.836,"CC",5
6,2013-05-11,15.836,"EC",2
13,2013-05-11,15.836,"EC",9
18,2013-05-11,15.836,"EC",4
5,2013-05-11,15.836,"XC",3
7,2013-05-11,15.836,"XC",3
24,2013-05-11,15.836,"XC",3
4,2013-07-06,15.892,"CC",10
11,2013-07-06,15.892,"CC",10
14,2013-07-06,15.892,"CC",4
17,2013-07-06,15.892,"CC",10
6,2013-07-06,15.892,"EC",8
13,2013-07-06,15.892,"EC",13
18,2013-07-06,15.892,"EC",8
5,2013-07-06,15.892,"XC",5
7,2013-07-06,15.892,"XC",4
24,2013-07-06,15.892,"XC",3
4,2013-09-14,15.962,"CC",14
11,2013-09-14,15.962,"CC",8
14,2013-09-14,15.962,"CC",4
17,2013-09-14,15.962,"CC",4
6,2013-09-14,15.962,"EC",6
13,2013-09-14,15.962,"EC",11
18,2013-09-14,15.962,"EC",7
5,2013-09-14,15.962,"XC",3
7,2013-09-14,15.962,"XC",1
24,2013-09-14,15.962,"XC",4
4,2013-11-02,16.011,"CC",8
11,2013-11-02,16.011,"CC",2
14,2013-11-02,16.011,"CC",3
17,2013-11-02,16.011,"CC",3
6,2013-11-02,16.011,"EC",6
13,2013-11-02,16.011,"EC",8
18,2013-11-02,16.011,"EC",6
5,2013-11-02,16.011,"XC",1
7,2013-11-02,16.011,"XC",4
24,2013-11-02,16.011,"XC",0
4,2013-12-29,16.068,"CC",0
11,2013-12-29,16.068,"CC",1
14,2013-12-29,16.068,"CC",0
17,2013-12-29,16.068,"CC",1
6,2013-12-29,16.068,"EC",0
13,2013-12-29,16.068,"EC",3
18,2013-12-29,16.068,"EC",1
5,2013-12-29,16.068,"XC",0
7,2013-12-29,16.068,"XC",1
24,2013-12-29,16.068,"XC",1
4,2014-02-01,16.102,"CC",0
11,2014-02-01,16.102,"CC",1
14,2014-02-01,16.102,"CC",0
17,2014-02-01,16.102,"CC",1
6,2014-02-01,16.102,"EC",3
13,2014-02-01,16.102,"EC",4
18,2014-02-01,16.102,"EC",5
5,2014-02-01,16.102,"XC",1
7,2014-02-01,16.102,"XC",1
24,2014-02-01,16.102,"XC",4
4,2014-03-01,16.13,"CC",1
11,2014-03-01,16.13,"CC",3
14,2014-03-01,16.13,"CC",1
17,2014-03-01,16.13,"CC",6
6,2014-03-01,16.13,"EC",4
