"plot","censusdate","numericdate","treatment","n"
4,2013-03-13,15.777,"CC",337.98378509745
11,2013-03-13,15.777,"CC",663.60347184599
14,2013-03-13,15.777,"CC",410.080753961276
17,2013-03-13,15.777,"CC",649.521846235809
6,2013-03-13,15.777,"EC",116.932406031984
13,2013-03-13,15.777,"EC",170.4931791687
18,2013-03-13,15.777,"EC",157.708700595348
5,2013-03-13,15.777,"XC",417.130536823522
7,2013-03-13,15.777,"XC",310.36922280609
24,2013-03-13,15.777,"XC",537.672014755633
4,2013-04-13,15.808,"CC",893.202299537363
11,2013-04-13,15.808,"CC",608.567960895076
14,2013-04-13,15.808,"CC",501.020353042526
17,2013-04-13,15.808,"CC",1249.49696052008
6,2013-04-13,15.808,"EC",437.17028365277
13,2013-04-13,15.808,"EC",241.799685714282
18,2013-04-13,15.808,"EC",364.03237174928
5,2013-04-13,15.808,"XC",353.108619872358
7,2013-04-13,15.808,"XC",226.268497691453
24,2013-04-13,15.808,"XC",55.8183169587426
4,2013-05-11,15.836,"CC",1109.60690675948
11,2013-05-11,15.836,"CC",781.740327708593
14,2013-05-11,15.836,"CC",960.58940672379
17,2013-05-11,15.836,"CC",762.935837712687
6,2013-05-11,15.836,"EC",113.479783453185
13,2013-05-11,15.836,"EC",488.938186619204
18,2013-05-11,15.836,"EC",242.873933735889
5,2013-05-11,15.836,"XC",252.238591678445
7,2013-05-11,15.836,"XC",193.920533687278
24,2013-05-11,15.836,"XC",180.737753959937
4,2013-07-06,15.892,"CC",840.193903184582
11,2013-07-06,15.892,"CC",984.375834981465
14,2013-07-06,15.892,"CC",843.36354244937
17,2013-07-06,15.892,"CC",744.204074525149
6,2013-07-06,15.892,"EC",353.469529771488
13,2013-07-06,15.892,"EC",657.000876976029
18,2013-07-06,15.892,"EC",429.112450443355
5,2013-07-06,15.892,"XC",351.372819306334
7,2013-07-06,15.892,"XC",193.750903073099
24,2013-07-06,15.892,"XC",163.064268476397
4,2013-09-14,15.962,"CC",1005.20265225566
11,2013-09-14,15.962,"CC",923.916426561298
14,2013-09-14,15.962,"CC",404.653444899073
17,2013-09-14,15.962,"CC",866.675003864682
6,2013-09-14,15.962,"EC",291.839929063098
13,2013-09-14,15.962,"EC",528.537011331088
18,2013-09-14,15.962,"EC",342.492085838986
5,2013-09-14,15.962,"XC",155.31860345725
7,2013-09-14,15.962,"XC",171.368643252648
24,2013-09-14,15.962,"XC",245.847324873805
4,2013-11-02,16.011,"CC",649.279710558117
11,2013-11-02,16.011,"CC",501.63066519062
14,2013-11-02,16.011,"CC",556.612002176396
17,2013-11-02,16.011,"CC",684.435841203535
6,2013-11-02,16.011,"EC",293.93180077051
13,2013-11-02,16.011,"EC",456.714707617786
18,2013-11-02,16.011,"EC",317.645453731147
5,2013-11-02,16.011,"XC",41.1820814442282
7,2013-11-02,16.011,"XC",385.821221972639
24,2013-11-02,16.011,"XC",0
4,2013-12-29,16.068,"CC",302.851227535723
11,2013-12-29,16.068,"CC",552.871711792586
14,2013-12-29,16.068,"CC",746.84351367694
17,2013-12-29,16.068,"CC",512.252147405527
6,2013-12-29,16.068,"EC",0
13,2013-12-29,16.068,"EC",217.089312434244
18,2013-12-29,16.068,"EC",49.7240672582641
5,2013-12-29,16.068,"XC",93.8748452722046
7,2013-12-29,16.068,"XC",183.7865651293
24,2013-12-29,16.068,"XC",65.5152311109777
4,2014-02-01,16.102,"CC",495.46654671129
11,2014-02-01,16.102,"CC",1054.19993537909
14,2014-02-01,16.102,"CC",1375.42054103356
17,2014-02-01,16.102,"CC",884.920619768812
6,2014-02-01,16.102,"EC",192.523064870366
13,2014-02-01,16.102,"EC",266.762531105662
18,2014-02-01,16.102,"EC",286.687747776663
5,2014-02-01,16.102,"XC",65.5152311109777
7,2014-02-01,16.102,"XC",192.790911798693
24,2014-02-01,16.102,"XC",226.452255389029
4,2014-03-01,16.13,"CC",769.001427145715
11,2014-03-01,16.13,"CC",812.543949292392
14,2014-03-01,16.13,"CC",1054.99985319308
17,2014-03-01,16.13,"CC",1043.88613585791
6,2014-03-01,16.13,"EC",242.791156384158
13,2014-03-01,16.13,"EC",340.418271224324
18,2014-03-01,16.13,"EC",312.952892168686
5,2014-03-01,16.13,"XC",189.698435268853
7,2014-03-01,16.13,"XC",138.502889652211
24,2014-03-01,16.13,"XC",352.434455390943
4,2014-03-29,16.158,"CC",967.092738521888
11,2014-03-29,16.158,"CC",617.295455090602
14,2014-03-29,16.158,"CC",1319.66523506684
17,2014-03-29,16.158,"CC",1171.52836075014
6,2014-03-29,16.158,"EC",514.90303041866
13,2014-03-29,16.158,"EC",663.215563363508
18,2014-03-29,16.158,"EC",233.103803803055
5,2014-03-29,16.158,"XC",282.301717241671
7,2014-03-29,16.158,"XC",343.230695483301
24,2014-03-29,16.158,"XC",429.24845349104
4,2014-04-26,16.186,"CC",1261.08664694098
11,2014-04-26,16.186,"CC",647.749039947316
14,2014-04-26,16.186,"CC",1027.66799781677
17,2014-04-26,16.186,"CC",1520.89099989664
6,2014-04-26,16.186,"EC",317.569083239125
13,2014-04-26,16.186,"EC",819.364323947073
18,2014-04-26,16.186,"EC",714.277867673632
5,2014-04-26,16.186,"XC",51.7818386467049
7,2014-04-26,16.186,"XC",301.860538250766
24,2014-04-26,16.186,"XC",125.314078766349
4,2014-05-31,16.221,"CC",626.127841455195
11,2014-05-31,16.221,"CC",1245.74537077109
14,2014-05-31,16.221,"CC",1301.38616593536
17,2014-05-31,16.221,"CC",1256.23057263961
6,2014-05-31,16.221,"EC",265.861855364813
13,2014-05-31,16.221,"EC",389.771119489199
18,2014-05-31,16.221,"EC",586.629728208476
5,2014-05-31,16.221,"XC",75.3663514583272
7,2014-05-31,16.221,"XC",290.111748372194
24,2014-05-31,16.221,"XC",196.040899241743
4,2014-06-28,16.249,"CC",1134.98022378403
11,2014-06-28,16.249,"CC",1178.09703059096
14,2014-06-28,16.249,"CC",1220.84511609707
17,2014-06-28,16.249,"CC",1548.84118199494
6,2014-06-28,16.249,"EC",848.065549505975
13,2014-06-28,16.249,"EC",595.652646058096
18,2014-06-28,16.249,"EC",880.104759115551
5,2014-06-28,16.249,"XC",94.9947789965089
7,2014-06-28,16.249,"XC",188.512665861982
24,2014-06-28,16.249,"XC",150.377601553855
4,2014-08-02,16.284,"CC",940.184718217419
11,2014-08-02,16.284,"CC",753.212885942251
14,2014-08-02,16.284,"CC",922.734261551455
17,2014-08-02,16.284,"CC",768.83817203966
6,2014-08-02,16.284,"EC",624.221131119878
13,2014-08-02,16.284,"EC",405.533552008934
18,2014-08-02,16.284,"EC",413.900648860195
5,2014-08-02,16.284,"XC",156.328738973779
7,2014-08-02,16.284,"XC",183.075086080518
24,2014-08-02,16.284,"XC",260.645417742587
4,2014-08-30,16.312,"CC",976.549258658848
11,2014-08-30,16.312,"CC",1220.78625965999
14,2014-08-30,16.312,"CC",972.419557784453
17,2014-08-30,16.312,"CC",982.539271518422
6,2014-08-30,16.312,"EC",959.300462323925
13,2014-08-30,16.312,"EC",785.960793168625
18,2014-08-30,16.312,"EC",587.696300162678
5,2014-08-30,16.312,"XC",97.3615667809565
7,2014-08-30,16.312,"XC",477.804557805073
24,2014-08-30,16.312,"XC",55.8183169587426
4,2014-09-27,16.34,"CC",915.195182441251
11,2014-09-27,16.34,"CC",693.56013700443
14,2014-09-27,16.34,"CC",743.910395437724
17,2014-09-27,16.34,"CC",997.122529954637
6,2014-09-27,16.34,"EC",647.735440110094
13,2014-09-27,16.34,"EC",491.04835894549
18,2014-09-27,16.34,"EC",691.321835936345
5,2014-09-27,16.34,"XC",165.197354492232
7,2014-09-27,16.34,"XC",47.6374995226924
24,2014-09-27,16.34,"XC",115.5779804667
4,2014-10-25,16.368,"CC",791.316512798388
11,2014-10-25,16.368,"CC",930.750531439591
14,2014-10-25,16.368,"CC",459.251224142769
17,2014-10-25,16.368,"CC",483.667528847429
6,2014-10-25,16.368,"EC",607.362363972784
13,2014-10-25,16.368,"EC",397.805221818974
18,2014-10-25,16.368,"EC",492.825979761972
5,2014-10-25,16.368,"XC",132.804684255394
7,2014-10-25,16.368,"XC",117.42883151215
24,2014-10-25,16.368,"XC",111.541502154662
4,2014-11-22,16.396,"CC",595.086044202099
11,2014-11-22,16.396,"CC",533.362937214184
14,2014-11-22,16.396,"CC",468.83155165697
17,2014-11-22,16.396,"CC",382.542872257298
6,2014-11-22,16.396,"EC",480.180973851244
13,2014-11-22,16.396,"EC",319.609754911721
18,2014-11-22,16.396,"EC",367.711341938538
5,2014-11-22,16.396,"XC",0
7,2014-11-22,16.396,"XC",253.177160764164
24,2014-11-22,16.396,"XC",192.564347763352
4,2015-01-17,16.452,"CC",757.075036425405
11,2015-01-17,16.452,"CC",1147.4074504291
14,2015-01-17,16.452,"CC",529.480648735895
17,2015-01-17,16.452,"CC",393.006230797952
6,2015-01-17,16.452,"EC",204.609663420828
13,2015-01-17,16.452,"EC",252.372967296618
18,2015-01-17,16.452,"EC",206.294244216238
5,2015-01-17,16.452,"XC",0
7,2015-01-17,16.452,"XC",632.817383011189
24,2015-01-17,16.452,"XC",201.437410084578
4,2015-02-21,16.487,"CC",803.120887037635
11,2015-02-21,16.487,"CC",1626.25091658789
14,2015-02-21,16.487,"CC",838.432807345873
17,2015-02-21,16.487,"CC",941.167032283896
6,2015-02-21,16.487,"EC",582.89553264784
13,2015-02-21,16.487,"EC",603.887317713208
18,2015-02-21,16.487,"EC",298.543462281383
5,2015-02-21,16.487,"XC",233.887553093475
7,2015-02-21,16.487,"XC",915.331014026644
24,2015-02-21,16.487,"XC",190.51829034351
4,2015-03-26,16.52,"CC",1066.89982683542
11,2015-03-26,16.52,"CC",966.593642928384
14,2015-03-26,16.52,"CC",831.291334605783
17,2015-03-26,16.52,"CC",1038.7146068274
6,2015-03-26,16.52,"EC",561.140582033603
13,2015-03-26,16.52,"EC",616.532093449474
18,2015-03-26,16.52,"EC",525.393782114473
5,2015-03-26,16.52,"XC",350.286418097437
7,2015-03-26,16.52,"XC",675.391893012916
24,2015-03-26,16.52,"XC",362.756145223418
4,2015-04-18,16.543,"CC",1159.67696419477
11,2015-04-18,16.543,"CC",1431.71288923936
14,2015-04-18,16.543,"CC",1064.57601036457
17,2015-04-18,16.543,"CC",1216.18881310148
6,2015-04-18,16.543,"EC",936.678135379673
13,2015-04-18,16.543,"EC",1000.36828926822
18,2015-04-18,16.543,"EC",897.556099075622
5,2015-04-18,16.543,"XC",912.929644766059
7,2015-04-18,16.543,"XC",346.27742411146
24,2015-04-18,16.543,"XC",967.615941019283
4,2015-05-16,16.571,"CC",1679.16711443191
11,2015-05-16,16.571,"CC",989.658243795846
14,2015-05-16,16.571,"CC",827.976885921176
17,2015-05-16,16.571,"CC",1245.86149259767
6,2015-05-16,16.571,"EC",803.873994863801
13,2015-05-16,16.571,"EC",825.489535184831
18,2015-05-16,16.571,"EC",565.584610395872
5,2015-05-16,16.571,"XC",1099.00459460812
7,2015-05-16,16.571,"XC",1143.55126640406
24,2015-05-16,16.571,"XC",873.427119622337
4,2015-06-13,16.599,"CC",1001.77138422626
11,2015-06-13,16.599,"CC",1233.6075854095
14,2015-06-13,16.599,"CC",1063.60586093132
17,2015-06-13,16.599,"CC",1237.66618784394
6,2015-06-13,16.599,"EC",851.456334921009
13,2015-06-13,16.599,"EC",1145.58245375585
18,2015-06-13,16.599,"EC",875.168288517287
5,2015-06-13,16.599,"XC",1276.66595244586
7,2015-06-13,16.599,"XC",1246.07927888426
24,2015-06-13,16.599,"XC",952.284177873185
4,2015-07-18,16.634,"CC",1488.21955505074
11,2015-07-18,16.634,"CC",1505.40837456912
14,2015-07-18,16.634,"CC",904.211051033075
17,2015-07-18,16.634,"CC",1565.60013688184
6,2015-07-18,16.634,"EC",1162.88982320849
13,2015-07-18,16.634,"EC",965.82963073313
18,2015-07-18,16.634,"EC",967.074106399121
5,2015-07-18,16.634,"XC",1480.88569510443
7,2015-07-18,16.634,"XC",994.304709226843
24,2015-07-18,16.634,"XC",1099.30755030398
4,2015-08-22,16.669,"CC",1372.53714973392
11,2015-08-22,16.669,"CC",1282.15945211883
14,2015-08-22,16.669,"CC",1130.54700859255
17,2015-08-22,16.669,"CC",1139.84483267159
