"censusdate","treatment","numericdate","abundance","month"
2013-03-13,"CC",15.777,5,3
2013-03-13,"EC",15.777,0,3
2013-03-13,"XC",15.777,3,3
2013-04-13,"CC",15.808,6.25,4
2013-04-13,"EC",15.808,0,4
2013-04-13,"XC",15.808,0.666666666666667,4
2013-05-11,"CC",15.836,5.5,5
2013-05-11,"EC",15.836,0,5
2013-05-11,"XC",15.836,0.333333333333333,5
2013-07-06,"CC",15.892,4.75,7
2013-07-06,"EC",15.892,0,7
2013-07-06,"XC",15.892,0.333333333333333,7
2013-09-14,"CC",15.962,4.75,9
2013-09-14,"EC",15.962,0,9
2013-09-14,"XC",15.962,0.333333333333333,9
2013-11-02,"CC",16.011,4,11
2013-11-02,"EC",16.011,0,11
2013-11-02,"XC",16.011,0.333333333333333,11
2013-12-29,"CC",16.068,5.25,12
2013-12-29,"EC",16.068,0,12
2013-12-29,"XC",16.068,0.666666666666667,12
2014-02-01,"CC",16.102,9,2
2014-02-01,"EC",16.102,0,2
2014-02-01,"XC",16.102,0.333333333333333,2
2014-03-01,"CC",16.13,7.5,3
2014-03-01,"EC",16.13,0,3
2014-03-01,"XC",16.13,0,3
2014-03-29,"CC",16.158,7.5,3
2014-03-29,"EC",16.158,0,3
2014-03-29,"XC",16.158,0,3
2014-04-26,"CC",16.186,7.5,4
2014-04-26,"EC",16.186,0.333333333333333,4
2014-04-26,"XC",16.186,0.333333333333333,4
2014-05-31,"CC",16.221,6.5,5
2014-05-31,"EC",16.221,0,5
2014-05-31,"XC",16.221,0.333333333333333,5
2014-06-28,"CC",16.249,6,6
2014-06-28,"EC",16.249,0,6
2014-06-28,"XC",16.249,0,6
2014-08-02,"CC",16.284,5.5,8
2014-08-02,"EC",16.284,0,8
2014-08-02,"XC",16.284,0,8
2014-08-30,"CC",16.312,5.25,8
2014-08-30,"EC",16.312,0,8
2014-08-30,"XC",16.312,0,8
2014-09-27,"CC",16.34,4.75,9
2014-09-27,"EC",16.34,0,9
2014-09-27,"XC",16.34,0,9
2014-10-25,"CC",16.368,4.5,10
2014-10-25,"EC",16.368,0,10
2014-10-25,"XC",16.368,0,10
2014-11-22,"CC",16.396,3.75,11
2014-11-22,"EC",16.396,0,11
2014-11-22,"XC",16.396,0,11
2015-01-17,"CC",16.452,6.25,1
2015-01-17,"EC",16.452,0,1
2015-01-17,"XC",16.452,1.33333333333333,1
2015-02-21,"CC",16.487,7.5,2
