"plot","year","season","amar palm","ambr arte","aris adsc","bail mult","boer inte","boer torr","bout aris","bout barb","cass lept","chen frem","crot pumi","dale brac","erio aber","erio lemm","euph exst","euph micr","euph serp","euph serr","hapl grac","ipom cost","kall gran","moll cerv","moll vert","pani ariz","pani hirt","pani mili","pect papp","port parv","sanv aber","sida spin","tide lanu","tria port","treat_before","treat_after","flip_type"
1,2014,"summer",115,0,59,0,7,5,686,55,9,0,99,3,4,0,0,0,16,2,0,0,0,10,0,5,54,0,3,0,0,8,24,1,"control","removal","control-removal"
1,2008,"summer",7,0,606,0,4,0,973,34,15,0,46,28,0,0,0,0,0,0,0,0,1,1,0,115,74,4,0,0,0,4,5,0,"control","removal","control-removal"
1,2011,"summer",2,0,2,0,28,21,9,32,2,0,47,13,0,0,0,0,0,0,0,0,0,0,1,31,30,0,0,0,0,2,4,0,"control","removal","control-removal"
2,2014,"summer",587,1,71,0,9,4,349,20,13,0,5,3,5,74,0,0,1,0,0,0,1,0,17,16,21,0,1,0,1,3,73,0,"control","exclosure","control-exclosure"
2,2008,"summer",164,0,109,0,2,0,225,38,39,0,66,2,0,0,0,0,0,0,0,0,1,4,0,92,145,5,0,0,0,5,19,0,"control","exclosure","control-exclosure"
2,2011,"summer",77,0,0,0,16,3,1,25,11,0,5,13,0,11,0,0,0,0,0,0,4,21,11,65,29,0,0,0,1,0,2,2,"control","exclosure","control-exclosure"
3,2014,"summer",48,0,697,0,2,7,251,40,2,0,0,1,4,12,0,3,2,0,0,0,0,0,0,12,19,0,0,0,0,0,19,0,"exclosure","exclosure","exclosure"
3,2008,"summer",18,0,903,0,4,0,237,36,1,0,0,20,0,0,0,0,3,0,0,0,0,0,0,58,64,0,0,0,0,0,36,0,"exclosure","exclosure","exclosure"
3,2011,"summer",1,0,4,0,4,0,0,65,2,0,3,11,0,0,0,0,0,0,0,0,3,0,0,25,15,0,0,0,0,0,3,3,"exclosure","exclosure","exclosure"
4,2014,"summer",10,0,658,0,1,9,678,105,0,0,0,2,2,9,0,0,10,1,0,0,1,1,0,29,60,3,0,0,0,0,73,0,"control","control","control"
4,2008,"summer",0,0,732,0,1,1,264,20,0,0,5,10,0,0,0,0,0,2,0,2,0,0,0,213,14,3,0,0,0,1,20,0,"control","control","control"
4,2011,"summer",1,0,5,0,2,15,3,51,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,9,84,1,0,0,0,0,6,0,"control","control","control"
5,2008,"summer",49,0,1129,0,1,0,752,9,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,96,23,3,0,0,0,0,9,0,"removal","control","removal-control"
5,2014,"summer",74,0,566,0,1,7,674,12,0,0,0,17,3,0,0,0,6,3,0,0,6,1,0,14,23,1,1,0,0,0,22,0,"removal","control","removal-control"
5,2011,"summer",2,0,7,0,2,31,30,33,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,24,40,1,0,0,0,0,10,0,"removal","control","removal-control"
6,2008,"summer",15,0,345,0,4,1,350,51,12,0,0,11,1,0,0,0,0,0,0,0,1,0,0,153,67,2,0,0,0,2,41,0,"exclosure","control","exclosure-control"
6,2014,"summer",16,0,58,0,6,8,170,29,0,0,0,2,0,1,2,0,5,0,0,0,1,0,0,17,24,0,1,0,0,0,38,0,"exclosure","control","exclosure-control"
6,2011,"summer",0,0,3,0,20,6,3,39,2,0,0,5,0,0,0,0,0,0,0,0,1,0,1,45,23,1,0,0,0,0,10,1,"exclosure","control","exclosure-control"
7,2014,"summer",1,0,78,0,1,9,59,46,0,0,0,15,4,0,0,0,10,3,0,0,0,0,0,13,42,0,0,0,0,3,18,4,"removal","control","removal-control"
7,2011,"summer",0,0,4,0,32,32,7,201,0,0,0,25,0,0,0,3,0,0,0,0,14,0,0,13,64,0,0,0,0,0,22,0,"removal","control","removal-control"
7,2008,"summer",3,0,277,0,2,0,395,140,0,0,1,81,0,0,0,0,0,0,0,0,3,0,0,247,64,0,0,0,0,0,86,0,"removal","control","removal-control"
8,2011,"summer",0,0,2,0,1,24,6,36,2,0,0,2,0,1,0,0,0,0,0,0,7,0,0,29,31,0,0,0,0,0,5,1,"control","exclosure","control-exclosure"
