"recordID","month","day","year","period","plot","species","sex","age","reprod","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3","prevrt","prevlet","note5","date","tagunique","group"
57072,3,13,2013,415,17,"DM","M",NA,NA,"S",NA,NA,NA,NA,39,56,"000448",NA,"000447",NA,NA,NA,NA,2013-03-13,"000448_0,000447_0",1
57073,3,13,2013,415,17,"DM","F",NA,NA,NA,NA,NA,"E",NA,34,44,"000509",NA,"000508",NA,NA,NA,NA,2013-03-13,"000509_0,000508_0",2
57074,3,13,2013,415,17,"DM","M","J",NA,"M",NA,NA,NA,NA,34,29,"001180","*","001173","*",NA,NA,NA,2013-03-13,"001180_0,001173_0",3
57075,3,13,2013,415,17,"DM","F","J",NA,NA,NA,NA,NA,NA,32,20,"001193","*","001178","*",NA,NA,NA,2013-03-13,"001193_0,001178_0",4
57076,3,13,2013,415,17,"DM","F",NA,"Z",NA,NA,NA,NA,NA,36,41,"000620",NA,"000619",NA,NA,NA,NA,2013-03-13,"000620_0,000619_0",5
57078,3,13,2013,415,17,"DM","M","J",NA,NA,NA,NA,NA,NA,35,25,"001172","*","001181","*",NA,NA,NA,2013-03-13,"001172_0,001181_0",6
57079,3,13,2013,415,17,"DM","M",NA,NA,"R",NA,NA,NA,NA,37,49,"000266",NA,"000404",NA,NA,NA,NA,2013-03-13,"000266_0,000404_0",7
57114,3,14,2013,415,4,"DM","M",NA,NA,"M",NA,NA,NA,NA,36,42,"000565",NA,"000585",NA,NA,NA,NA,2013-03-14,"000565_0,000585_0",8
57116,3,14,2013,415,4,"DM","F",NA,"Z",NA,NA,NA,NA,NA,36,42,"000566",NA,"001174",NA,NA,"000567",NA,2013-03-14,"000566_0,001174_0,000567_0",9
57117,3,14,2013,415,4,"DM","F",NA,NA,NA,NA,NA,"E",NA,36,39,"001036",NA,"001037",NA,NA,NA,NA,2013-03-14,"001036_0,001037_0",10
57122,3,14,2013,415,11,"DM","M",NA,NA,"R",NA,NA,NA,NA,37,45,"000527",NA,"000528",NA,NA,NA,NA,2013-03-14,"000527_0,000528_0",11
57124,3,14,2013,415,11,"DM","F",NA,NA,NA,NA,NA,"E",NA,37,47,"000572",NA,"001040",NA,NA,"000571",NA,2013-03-14,"000572_0,001040_0,000571_0",12
57125,3,14,2013,415,11,"DM","M",NA,NA,"S",NA,NA,NA,NA,34,49,"001099",NA,"000474",NA,NA,NA,NA,2013-03-14,"001099_0,000474_0",13
57126,3,14,2013,415,11,"DM","F",NA,NA,NA,NA,NA,"E",NA,37,47,"001155","*","001165","*",NA,NA,NA,2013-03-14,"001155_0,001165_0",14
57127,3,14,2013,415,11,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,51,"000253",NA,"000252",NA,NA,NA,NA,2013-03-14,"000253_0,000252_0",15
57128,3,14,2013,415,11,"DM","M",NA,NA,"R",NA,NA,NA,NA,36,45,"001041",NA,"001042",NA,NA,NA,NA,2013-03-14,"001041_0,001042_0",16
57151,3,14,2013,415,14,"DM","M",NA,NA,"S",NA,NA,NA,NA,34,49,"001353",NA,"001749",NA,"000673","000672, 001237, 001498, 001575, 001511, 001629",NA,2013-03-14,"001353_0,001749_0,000673_0,000672_0,001237_0,001498_0,001575_0,001511_0,001629_0",17
57152,3,14,2013,415,14,"DM","F",NA,"Z",NA,NA,NA,NA,NA,36,46,"000180",NA,"000181",NA,NA,NA,NA,2013-03-14,"000180_0,000181_0",18
57153,3,14,2013,415,14,"DM","F",NA,NA,NA,"S",NA,"B",NA,37,44,"000604",NA,"000451",NA,NA,NA,NA,2013-03-14,"000604_0,000451_0",19
57154,3,14,2013,415,14,"DM","M",NA,NA,"S",NA,NA,NA,NA,36,50,"001195",NA,"001185",NA,NA,NA,NA,2013-03-14,"001195_0,001185_0",20
57222,4,13,2013,416,17,"DM","F",NA,"Z",NA,NA,NA,NA,NA,37,46,"001096",NA,"001097",NA,NA,NA,NA,2013-04-13,"001096_0,001097_0",21
57223,4,13,2013,416,17,"DM","F",NA,NA,NA,NA,NA,"E",NA,35,43,"000620",NA,"000619",NA,NA,NA,NA,2013-04-13,"000620_0,000619_0",5
57224,4,13,2013,416,17,"DM","M",NA,NA,"M",NA,NA,NA,NA,35,36,"001303","*","001305","*",NA,NA,NA,2013-04-13,"001303_0,001305_0",22
57226,4,13,2013,416,17,"DM","F",NA,"Z",NA,NA,NA,NA,NA,32,26,"001193",NA,"001178",NA,NA,NA,NA,2013-04-13,"001193_0,001178_0",4
57227,4,13,2013,416,17,"DM","M",NA,NA,"S",NA,NA,NA,NA,35,45,"000266",NA,"000404",NA,NA,NA,NA,2013-04-13,"000266_0,000404_0",7
57228,4,13,2013,416,17,"DM","M",NA,"Z",NA,NA,NA,NA,NA,34,35,"001412","*","001306","*","001304",NA,NA,2013-04-13,"001412_0,001306_0,001304_0",23
57230,4,13,2013,416,17,"DM","F",NA,"Z",NA,NA,NA,NA,NA,35,52,"000509",NA,"000508",NA,NA,NA,NA,2013-04-13,"000509_0,000508_0",2
57231,4,13,2013,416,17,"DM","M",NA,NA,"S",NA,NA,NA,NA,34,38,"001308","*","001307","*",NA,NA,NA,2013-04-13,"001308_0,001307_0",24
57232,4,13,2013,416,17,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,51,"000534",NA,"001309","*",NA,"000533, 001147",NA,2013-04-13,"000534_0,001309_0,000533_0,001147_0",25
57233,4,13,2013,416,17,"DM","M",NA,"Z",NA,NA,NA,NA,NA,33,34,"001310","*","001311","*",NA,NA,NA,2013-04-13,"001310_0,001311_0",26
57234,4,13,2013,416,17,"DM","M",NA,NA,"R",NA,NA,NA,NA,37,55,"000448",NA,"000447",NA,NA,NA,NA,2013-04-13,"000448_0,000447_0",1
57275,4,14,2013,416,4,"DM","M",NA,"Z",NA,NA,NA,NA,NA,35,NA,"001318","*","001397","*",NA,"001319","E",2013-04-14,"001318_0,001397_0,001319_0",27
57276,4,14,2013,416,4,"DM","F",NA,"Z",NA,NA,NA,NA,NA,34,38,"001036",NA,"001037",NA,NA,NA,NA,2013-04-14,"001036_0,001037_0",10
57278,4,14,2013,416,4,"DM","F",NA,"Z",NA,NA,NA,NA,NA,35,26,"001321","*","001320","*",NA,NA,NA,2013-04-14,"001321_0,001320_0",28
57279,4,14,2013,416,4,"DM","M",NA,NA,"R",NA,NA,NA,NA,35,41,"000565",NA,"000585",NA,NA,NA,NA,2013-04-14,"000565_0,000585_0",8
57283,4,14,2013,416,4,"DM","F",NA,NA,NA,NA,NA,"E",NA,36,46,"000566",NA,"001174",NA,NA,"000567",NA,2013-04-14,"000566_0,001174_0,000567_0",9
57284,4,14,2013,416,4,"DM","F",NA,"Z",NA,NA,NA,NA,NA,38,48,"000396",NA,"001322","*",NA,"000395, 000255, 001110",NA,2013-04-14,"000396_0,001322_0,000395_0,000255_0,001110_0",29
57298,4,14,2013,416,11,"DM","M",NA,NA,"R",NA,NA,NA,NA,35,46,"000527",NA,"000528",NA,NA,NA,NA,2013-04-14,"000527_0,000528_0",11
57299,4,14,2013,416,11,"DM","M",NA,NA,"R",NA,NA,NA,NA,36,46,"001041",NA,"001042",NA,NA,NA,NA,2013-04-14,"001041_0,001042_0",16
57300,4,14,2013,416,11,"DM","F",NA,NA,NA,NA,NA,"B",NA,36,44,"000572",NA,"001040",NA,NA,"000571",NA,2013-04-14,"000572_0,001040_0,000571_0",12
57335,4,14,2013,416,14,"DM","M",NA,"Z",NA,NA,NA,NA,NA,36,37,"001329","*","001330","*",NA,NA,NA,2013-04-14,"001329_0,001330_0",30
57337,4,14,2013,416,14,"DM","F",NA,"Z",NA,NA,NA,NA,NA,35,46,"000180",NA,"000181",NA,NA,NA,NA,2013-04-14,"000180_0,000181_0",18
57338,4,14,2013,416,14,"DM","F",NA,"Z",NA,NA,NA,NA,NA,34,35,"001331","*","001332","*",NA,NA,NA,2013-04-14,"001331_0,001332_0",31
57339,4,14,2013,416,14,"DM","M",NA,"Z",NA,NA,NA,NA,NA,36,35,"001333","*","001334","*",NA,NA,NA,2013-04-14,"001333_0,001334_0",32
57340,4,14,2013,416,14,"DM","M",NA,NA,"R",NA,NA,NA,NA,35,48,"001195",NA,"001185",NA,NA,NA,NA,2013-04-14,"001195_0,001185_0",20
57404,5,11,2013,417,17,"DM","F",NA,"Z",NA,NA,NA,NA,NA,34,45,"000509",NA,"000508",NA,NA,NA,NA,2013-05-11,"000509_0,000508_0",2
57409,5,11,2013,417,17,"DM","M",NA,"Z",NA,NA,NA,NA,NA,35,38,"001310",NA,"001311",NA,NA,NA,NA,2013-05-11,"001310_0,001311_0",26
57410,5,11,2013,417,17,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,46,"000266",NA,"000404",NA,NA,NA,NA,2013-05-11,"000266_0,000404_0",7
57414,5,11,2013,417,17,"DM","F",NA,"Z",NA,NA,NA,NA,NA,37,44,"001096",NA,"001097",NA,NA,NA,NA,2013-05-11,"001096_0,001097_0",21
57415,5,11,2013,417,17,"DM","M",NA,"Z",NA,NA,NA,NA,NA,35,40,"001344","*","001343","*",NA,NA,NA,2013-05-11,"001344_0,001343_0",33
