"censusdate","numericdate","treatment","dipos"
2013-03-13,15.777,"CC",5
2013-04-13,15.808,"CC",6.25
2013-05-11,15.836,"CC",5.5
2013-07-06,15.892,"CC",4.75
2013-09-14,15.962,"CC",4.75
2013-11-02,16.011,"CC",4
2013-12-29,16.068,"CC",5.25
2014-02-01,16.102,"CC",9
2014-03-01,16.13,"CC",7.5
2014-03-29,16.158,"CC",7.5
2014-04-26,16.186,"CC",7.5
2014-05-31,16.221,"CC",6.5
2014-06-28,16.249,"CC",6
2014-08-02,16.284,"CC",5.5
2014-08-30,16.312,"CC",5.25
2014-09-27,16.34,"CC",4.75
2014-10-25,16.368,"CC",4.5
2014-11-22,16.396,"CC",3.75
2015-01-17,16.452,"CC",6.25
2015-02-21,16.487,"CC",7.5
2015-03-26,16.52,"CC",5.5
2015-04-18,16.543,"CC",5.75
2015-05-16,16.571,"CC",7
2015-06-13,16.599,"CC",5.25
2015-07-18,16.634,"CC",5
2015-08-22,16.669,"CC",6
2015-09-12,16.69,"CC",5.25
2015-10-10,16.718,"CC",6.75
2015-11-14,16.753,"CC",8
2016-02-13,16.844,"CC",9
2016-03-19,16.879,"CC",7
2016-05-07,16.928,"CC",8.5
2016-06-04,16.956,"CC",7
2016-07-02,16.984,"CC",6.25
2016-08-06,17.019,"CC",5
2016-09-03,17.047,"CC",4.5
2016-10-01,17.075,"CC",4
2016-11-05,17.11,"CC",5
2017-01-07,17.173,"CC",5
2017-01-28,17.194,"CC",7
2017-02-25,17.222,"CC",7.25
2017-03-28,17.253,"CC",5
2017-04-29,17.285,"CC",5.75
2017-05-27,17.313,"CC",6.75
2017-06-24,17.341,"CC",4.25
2017-08-19,17.397,"CC",3.25
2017-09-14,17.423,"CC",3.75
2017-10-21,17.46,"CC",3
2017-11-18,17.488,"CC",3.75
2013-03-13,15.777,"EC",0
2013-04-13,15.808,"EC",0
2013-05-11,15.836,"EC",0
2013-07-06,15.892,"EC",0
2013-09-14,15.962,"EC",0
2013-11-02,16.011,"EC",0
2013-12-29,16.068,"EC",0
2014-02-01,16.102,"EC",0
2014-03-01,16.13,"EC",0
2014-03-29,16.158,"EC",0
2014-04-26,16.186,"EC",0.333333333333333
2014-05-31,16.221,"EC",0
2014-06-28,16.249,"EC",0
2014-08-02,16.284,"EC",0
2014-08-30,16.312,"EC",0
2014-09-27,16.34,"EC",0
2014-10-25,16.368,"EC",0
2014-11-22,16.396,"EC",0
2015-01-17,16.452,"EC",0
2015-02-21,16.487,"EC",0
2015-03-26,16.52,"EC",0
2015-04-18,16.543,"EC",1
2015-05-16,16.571,"EC",3
2015-06-13,16.599,"EC",3.33333333333333
2015-07-18,16.634,"EC",3.66666666666667
2015-08-22,16.669,"EC",3.66666666666667
2015-09-12,16.69,"EC",5
2015-10-10,16.718,"EC",5
2015-11-14,16.753,"EC",4.66666666666667
2016-02-13,16.844,"EC",4
2016-03-19,16.879,"EC",4
2016-05-07,16.928,"EC",6.33333333333333
2016-06-04,16.956,"EC",4
2016-07-02,16.984,"EC",3
2016-08-06,17.019,"EC",3.33333333333333
2016-09-03,17.047,"EC",4.33333333333333
2016-10-01,17.075,"EC",3.33333333333333
2016-11-05,17.11,"EC",2.33333333333333
2017-01-07,17.173,"EC",4
2017-01-28,17.194,"EC",3.66666666666667
2017-02-25,17.222,"EC",3
2017-03-28,17.253,"EC",6.33333333333333
2017-04-29,17.285,"EC",3.66666666666667
2017-05-27,17.313,"EC",3.33333333333333
2017-06-24,17.341,"EC",3.33333333333333
2017-08-19,17.397,"EC",4.33333333333333
2017-09-14,17.423,"EC",4.33333333333333
2017-10-21,17.46,"EC",3.33333333333333
2017-11-18,17.488,"EC",4.33333333333333
2013-03-13,15.777,"XC",3
2013-04-13,15.808,"XC",0.666666666666667
2013-05-11,15.836,"XC",0.333333333333333
2013-07-06,15.892,"XC",0.333333333333333
2013-09-14,15.962,"XC",0.333333333333333
2013-11-02,16.011,"XC",0.333333333333333
2013-12-29,16.068,"XC",0.666666666666667
2014-02-01,16.102,"XC",0.333333333333333
2014-03-01,16.13,"XC",0
