plot,censusdate,numericdate,treatment,dipos
4,3/13/2013,15.777,CC,3
11,3/13/2013,15.777,CC,6
14,3/13/2013,15.777,CC,4
17,3/13/2013,15.777,CC,7
6,3/13/2013,15.777,EC,0
13,3/13/2013,15.777,EC,0
18,3/13/2013,15.777,EC,0
5,3/13/2013,15.777,XC,3
7,3/13/2013,15.777,XC,1
24,3/13/2013,15.777,XC,5
4,4/13/2013,15.808,CC,6
11,4/13/2013,15.808,CC,3
14,4/13/2013,15.808,CC,5
17,4/13/2013,15.808,CC,11
6,4/13/2013,15.808,EC,0
13,4/13/2013,15.808,EC,0
18,4/13/2013,15.808,EC,0
5,4/13/2013,15.808,XC,2
7,4/13/2013,15.808,XC,0
24,4/13/2013,15.808,XC,0
4,5/11/2013,15.836,CC,5
11,5/11/2013,15.836,CC,5
14,5/11/2013,15.836,CC,7
17,5/11/2013,15.836,CC,5
6,5/11/2013,15.836,EC,0
13,5/11/2013,15.836,EC,0
18,5/11/2013,15.836,EC,0
5,5/11/2013,15.836,XC,1
7,5/11/2013,15.836,XC,0
24,5/11/2013,15.836,XC,0
4,7/6/2013,15.892,CC,4
11,7/6/2013,15.892,CC,5
14,7/6/2013,15.892,CC,7
17,7/6/2013,15.892,CC,3
6,7/6/2013,15.892,EC,0
13,7/6/2013,15.892,EC,0
18,7/6/2013,15.892,EC,0
5,7/6/2013,15.892,XC,1
7,7/6/2013,15.892,XC,0
24,7/6/2013,15.892,XC,0
4,9/14/2013,15.962,CC,4
11,9/14/2013,15.962,CC,6
14,9/14/2013,15.962,CC,2
17,9/14/2013,15.962,CC,7
6,9/14/2013,15.962,EC,0
13,9/14/2013,15.962,EC,0
18,9/14/2013,15.962,EC,0
5,9/14/2013,15.962,XC,0
7,9/14/2013,15.962,XC,1
24,9/14/2013,15.962,XC,0
4,11/2/2013,16.011,CC,3
11,11/2/2013,16.011,CC,4
14,11/2/2013,16.011,CC,4
17,11/2/2013,16.011,CC,5
6,11/2/2013,16.011,EC,0
13,11/2/2013,16.011,EC,0
