"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c416 a0 o1 t416",0.457796,0.0754641,0.3175393,0.6050772,"     ","       ",65
"p sA g1 c416 a1 o1 t417",0.3516946,0.1067904,0.1780524,0.5760068,"     ","       ",65
"Psi sA toB g1 c416 a0 o1 t416",2.061154e-09,8.220586e-07,-1.609174e-06,1.613296e-06,"     ","       ",65
"Psi sA toB g1 c416 a21 o22 t437",8.453424e-07,0.0003364464,4.70237700147987e-315,1,"     ","       ",65
"Psi sA toC g1 c416 a0 o1 t416",0.0003763976,0.0096992,4.295868e-26,1,"     ","       ",65
"Psi sA toC g1 c416 a21 o22 t437",0.133772,0.124919,0.0183258,0.5609281,"     ","       ",65
"Psi sB toA g1 c416 a0 o1 t416",2.061154e-09,9.163107e-07,-1.793908e-06,1.79803e-06,"     ","       ",65
"Psi sB toA g1 c416 a21 o22 t437",8.453424e-07,0.0003751745,4.70237700147987e-315,1,"     ","       ",65
"Psi sB toC g1 c416 a0 o1 t416",2.061154e-09,9.160501e-07,-1.793397e-06,1.797519e-06,"     ","       ",65
"Psi sB toC g1 c416 a21 o22 t437",8.453424e-07,0.000375068,4.70237700147987e-315,1,"     ","       ",65
"Psi sC toA g1 c416 a0 o1 t416",2.061154e-09,1.063693e-06,-2.082777e-06,2.086899e-06,"     ","       ",65
"Psi sC toA g1 c416 a21 o22 t437",8.453424e-07,0.0004357063,4.70237700147987e-315,1,"     ","       ",65
"Psi sC toB g1 c416 a0 o1 t416",2.061154e-09,9.543002e-07,-1.868367e-06,1.87249e-06,"     ","       ",65
"Psi sC toB g1 c416 a21 o22 t437",8.453424e-07,0.000390779,4.70237700147987e-315,1,"     ","       ",65
