"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c413 a0 o1 t413",0.7675745,0.016954,0.7327076,0.79914,"     ","       ",470
"S sA g1 c413 a24 o25 t437",0.8675622,0.0117197,0.8428585,0.8888942,"     ","       ",470
"S sB g1 c413 a0 o1 t413",0.8226119,0.029502,0.7572897,0.873295,"     ","       ",470
"S sB g1 c413 a24 o25 t437",0.9019475,0.0129265,0.8735337,0.924529,"     ","       ",470
"S sC g1 c413 a0 o1 t413",0.7563127,0.0328406,0.6863957,0.8148468,"     ","       ",470
"S sC g1 c413 a24 o25 t437",0.8602632,0.0134471,0.8317703,0.8845999,"     ","       ",470
"p sA g1 c413 a1 o1 t414",0.6103631,0.0111969,0.5882073,0.6320724,"     ","       ",470
"Psi sA toB g1 c413 a0 o1 t413",0.0017498,0.00124,0.0004358304,0.0069978,"     ","       ",470
"Psi sA toC g1 c413 a0 o1 t413",0.0099883,0.0030064,0.0055289,0.0179792,"     ","       ",470
"Psi sB toA g1 c413 a0 o1 t413",0.0086166,0.0042956,0.0032333,0.0227581,"     ","       ",470
"Psi sB toC g1 c413 a0 o1 t413",0.0060822,0.0036319,0.0018814,0.0194794,"     ","       ",470
"Psi sC toA g1 c413 a0 o1 t413",0.0148453,0.0052058,0.0074447,0.0293849,"     ","       ",470
"Psi sC toB g1 c413 a0 o1 t413",0.0017849,0.0017836,0.000251308,0.0125602,"     ","       ",470
