"","estimate","se","lcl","ucl","fixed","note","n_indiv"
"S sA g1 c413 a0 o1 t413",0.7538098,0.0258414,0.6997512,0.8009046,"     ","       ",102
"p sA g1 c413 a1 o1 t414",0.2999194,0.0344927,0.2369159,0.3715202,"     ","       ",102
"Psi sA toB g1 c413 a0 o1 t413",0.2569014,0.1627488,0.0610495,0.647668,"     ","       ",102
"Psi sA toB g1 c413 a24 o25 t437",0.076818,0.055401,0.0176787,0.2778365,"     ","       ",102
"Psi sA toC g1 c413 a0 o1 t413",0.2460799,0.171538,0.0506006,0.6665465,"     ","       ",102
"Psi sA toC g1 c413 a24 o25 t437",0.0728387,0.0504476,0.0178453,0.253553,"     ","       ",102
"Psi sB toA g1 c413 a0 o1 t413",0.0977901,0.0644214,0.0252546,0.3119802,"     ","       ",102
"Psi sB toA g1 c413 a24 o25 t437",0.0254249,0.0195256,0.0055369,0.108924,"     ","       ",102
"Psi sB toC g1 c413 a0 o1 t413",0.193984,0.0716801,0.0892454,0.3715036,"     ","       ",102
"Psi sB toC g1 c413 a24 o25 t437",0.0547549,0.0340007,0.0157325,0.1735047,"     ","       ",102
"Psi sC toA g1 c413 a0 o1 t413",0.0668623,0.0818811,0.0054419,0.4840879,"     ","       ",102
"Psi sC toA g1 c413 a24 o25 t437",0.0169537,0.0174782,0.0022032,0.1187119,"     ","       ",102
"Psi sC toB g1 c413 a0 o1 t413",0.1137415,0.0975844,0.0188822,0.4611566,"     ","       ",102
"Psi sC toB g1 c413 a24 o25 t437",0.0299642,0.0213769,0.0072547,0.1154906,"     ","       ",102
