"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,91.6709051034483,0,0.205450820094272,53.206797
"5","~1","~1","~-1 + after_switch","S(~1)p(~1)Psi(~-1 + after_switch)",3,91.6709051034483,0,0.205450820094272,53.206797
"21","~-1 + after_switch","~1","~1","S(~-1 + after_switch)p(~1)Psi(~1)",3,91.6709051034483,0,0.205450820094272,53.206797
"25","~-1 + after_switch","~1","~-1 + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + after_switch)",3,91.6709051034483,0,0.205450820094272,53.206797
"16","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,94.0086665714286,2.33776146798029,0.0638365527258861,50.886923
"20","~-1 + stratum","~1","~-1 + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + after_switch)",5,94.0086665714286,2.33776146798029,0.0638365527258861,50.886923
"6","~-1 + stratum + after_switch","~1","~1","S(~-1 + stratum + after_switch)p(~1)Psi(~1)",6,96.4645107272727,4.79360562382445,0.0186977627021532,50.886923
"10","~-1 + stratum + after_switch","~1","~-1 + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + after_switch)",6,96.4645107272727,4.79360562382445,0.0186977627021532,50.886923
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,99.9148831320755,8.2439780286272,0.00333081717806549,49.147587
"22","~-1 + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",8,99.9148831320755,8.2439780286272,0.00333081717806549,49.147587
"11","~-1 + stratum * after_switch","~1","~1","S(~-1 + stratum * after_switch)p(~1)Psi(~1)",8,101.654219132075,9.98331402862719,0.00139591438366344,50.886923
"15","~-1 + stratum * after_switch","~1","~-1 + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + after_switch)",8,101.654219132075,9.98331402862719,0.00139591438366344,50.886923
"3","~1","~1","~-1 + stratum:tostratum + after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,102.659440461538,10.9885353580902,0.00084445739664777,49.147587
"23","~-1 + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,102.659440461538,10.9885353580902,0.00084445739664777,49.147587
"18","~-1 + stratum","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",11,103.044893,11.3739878965517,0.000696430509834821,43.714577
"7","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",11,103.044917,11.3740118965517,0.000696422152718847,43.714602
"17","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,103.520712490196,11.8498073867478,0.000548977947726559,47.156671
"8","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",12,109.574332938776,17.9034278353272,2.66089612549642e-05,47.156671
"12","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum)",13,110.574031333333,18.903126229885,1.6141584835625e-05,44.940382
"13","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",14,116.143156212766,24.4722511093177,9.96841410216094e-07,47.156671
"4","~1","~1","~-1 + stratum:tostratum * after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,121.632684608696,29.9617795052474,6.40604707260521e-08,49.147587
"24","~-1 + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,121.632684608696,29.9617795052474,6.40604707260521e-08,49.147587
"19","~-1 + stratum","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",17,127.116076909091,35.4451718056426,4.12939679638533e-09,47.156671
"9","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",18,131.113962744186,39.4430576407378,5.59444151172631e-10,47.156671
"14","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",20,136.267963878049,44.5970587746005,4.25186641782845e-11,43.729843
