"","S","p","Psi","model","npar","AICc","DeltaAICc","weight","Deviance"
"1","~1","~1","~1","S(~1)p(~1)Psi(~1)",3,2169.35496666667,0,0.222065248471894,1695.4996
"5","~1","~1","~-1 + after_switch","S(~1)p(~1)Psi(~-1 + after_switch)",3,2169.35496666667,0,0.222065248471894,1695.4996
"21","~-1 + after_switch","~1","~1","S(~-1 + after_switch)p(~1)Psi(~1)",3,2169.35496666667,0,0.222065248471894,1695.4996
"25","~-1 + after_switch","~1","~-1 + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + after_switch)",3,2169.35496666667,0,0.222065248471894,1695.4996
"16","~-1 + stratum","~1","~1","S(~-1 + stratum)p(~1)Psi(~1)",5,2172.98691514477,3.63194847809928,0.0361254286344075,1695.0914
"20","~-1 + stratum","~1","~-1 + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + after_switch)",5,2172.98691514477,3.63194847809928,0.0361254286344075,1695.0914
"6","~-1 + stratum + after_switch","~1","~1","S(~-1 + stratum + after_switch)p(~1)Psi(~1)",6,2175.01374548495,5.65877881828283,0.0131127080689694,1695.0914
"10","~-1 + stratum + after_switch","~1","~-1 + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + after_switch)",6,2175.01374548495,5.65877881828283,0.0131127080689694,1695.0914
"2","~1","~1","~-1 + stratum:tostratum","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,2177.80769385475,8.45272718808201,0.00324335295281337,1693.818
"22","~-1 + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",8,2177.80769385475,8.45272718808201,0.00324335295281337,1693.818
"11","~-1 + stratum * after_switch","~1","~1","S(~-1 + stratum * after_switch)p(~1)Psi(~1)",8,2179.08099385475,9.72602718808184,0.00171593420230107,1695.0914
"15","~-1 + stratum * after_switch","~1","~-1 + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + after_switch)",8,2179.08099385475,9.72602718808184,0.00171593420230107,1695.0914
"3","~1","~1","~-1 + stratum:tostratum + after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,2179.84814228188,10.4931756152123,0.00116927446739003,1693.818
"23","~-1 + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",9,2179.84814228188,10.4931756152123,0.00116927446739003,1693.818
"17","~-1 + stratum","~1","~-1 + stratum:tostratum","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,2181.45316058231,12.09819391564,0.000524072258065831,1693.3781
"7","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum)",11,2183.50276412556,14.1477974588938,0.000188072551432363,1693.3781
"18","~-1 + stratum","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",11,2183.50276412556,14.1477974588938,0.000188072551432363,1693.3781
"8","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",12,2185.55696835017,16.2020016835013,6.73380656339412e-05,1693.3781
"12","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum)",13,2187.61578876404,18.260822097378,2.40543410431299e-05,1693.3781
"13","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum + after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum + after_switch)",14,2189.67924094488,20.3242742782149,8.57275705235708e-06,1693.3781
"4","~1","~1","~-1 + stratum:tostratum * after_switch","S(~1)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,2192.18734054054,22.8323738738736,2.44620927771632e-06,1693.818
"24","~-1 + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",15,2192.18734054054,22.8323738738736,2.44620927771632e-06,1693.818
"19","~-1 + stratum","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",17,2195.89754492099,26.5425782543266,3.82677531995638e-07,1693.3781
"9","~-1 + stratum + after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum + after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",18,2197.97968135593,28.6247146892651,1.3511475630484e-07,1693.3781
"14","~-1 + stratum * after_switch","~1","~-1 + stratum:tostratum * after_switch","S(~-1 + stratum * after_switch)p(~1)Psi(~-1 + stratum:tostratum * after_switch)",20,2202.15810237826,32.8031357115892,1.67251563272907e-08,1693.3781
