"plot","censusdate","numericdate","treatment","energy"
4,2013-03-13,15.777,"CC",59.399610737689
11,2013-03-13,15.777,"CC",116.626269217221
14,2013-03-13,15.777,"CC",72.0704312761469
17,2013-03-13,15.777,"CC",114.151466825274
6,2013-03-13,15.777,"EC",20.5505107261835
13,2013-03-13,15.777,"EC",29.9636518749912
18,2013-03-13,15.777,"EC",27.7168190852984
5,2013-03-13,15.777,"XC",73.3094089320776
7,2013-03-13,15.777,"XC",54.5464363455343
24,2013-03-13,15.777,"XC",94.494202944751
4,2013-04-13,15.808,"CC",156.977557036443
11,2013-04-13,15.808,"CC",106.95394743323
14,2013-04-13,15.808,"CC",88.0527861234668
17,2013-04-13,15.808,"CC",219.595247894566
6,2013-04-13,15.808,"EC",76.8313328036502
13,2013-04-13,15.808,"EC",42.4955510921409
18,2013-04-13,15.808,"EC",63.9775697274658
5,2013-04-13,15.808,"XC",62.057753931873
7,2013-04-13,15.808,"XC",39.765992564403
24,2013-04-13,15.808,"XC",9.8098975322922
4,2013-05-11,15.836,"CC",195.010001187957
11,2013-05-11,15.836,"CC",137.388458296765
14,2013-05-11,15.836,"CC",168.820633870613
17,2013-05-11,15.836,"CC",134.083627014532
6,2013-05-11,15.836,"EC",19.9437229267461
13,2013-05-11,15.836,"EC",85.9293825341308
18,2013-05-11,15.836,"EC",42.6843468780122
5,2013-05-11,15.836,"XC",44.3301567097443
7,2013-05-11,15.836,"XC",34.080937379135
24,2013-05-11,15.836,"XC",31.7641043866322
4,2013-07-06,15.892,"CC",147.661494408538
11,2013-07-06,15.892,"CC",173.001025480047
14,2013-07-06,15.892,"CC",148.218548760873
17,2013-07-06,15.892,"CC",130.791577245193
6,2013-07-06,15.892,"EC",62.1211827366411
13,2013-07-06,15.892,"EC",115.465883475576
18,2013-07-06,15.892,"EC",75.4151933995352
5,2013-07-06,15.892,"XC",61.7526923209725
7,2013-07-06,15.892,"XC",34.051125320404
24,2013-07-06,15.892,"XC",28.6580436689626
4,2013-09-14,15.962,"CC",176.661274561627
11,2013-09-14,15.962,"CC",162.375470397416
14,2013-09-14,15.962,"CC",71.11659840054
17,2013-09-14,15.962,"CC",152.315466408556
6,2013-09-14,15.962,"EC",51.2899699583652
13,2013-09-14,15.962,"EC",92.8887541882405
18,2013-09-14,15.962,"EC",60.191930727414
5,2013-09-14,15.962,"XC",27.2967668641915
7,2013-09-14,15.962,"XC",30.117511995193
24,2013-09-14,15.962,"XC",43.2069112256248
4,2013-11-02,16.011,"CC",114.108912224625
11,2013-11-02,16.011,"CC",88.1600466064359
14,2013-11-02,16.011,"CC",97.8228474826706
17,2013-11-02,16.011,"CC",120.287494060375
6,2013-11-02,16.011,"EC",51.6576099772425
13,2013-11-02,16.011,"EC",80.2662052052348
18,2013-11-02,16.011,"EC",55.825211552047
5,2013-11-02,16.011,"XC",7.23762415540039
7,2013-11-02,16.011,"XC",67.8068931410614
24,2013-11-02,16.011,"XC",0
4,2013-12-29,16.068,"CC",53.2251717988969
11,2013-12-29,16.068,"CC",97.1655029512454
14,2013-12-29,16.068,"CC",131.255450558337
17,2013-12-29,16.068,"CC",90.0267394385812
6,2013-12-29,16.068,"EC",0
13,2013-12-29,16.068,"EC",38.1527789866862
18,2013-12-29,16.068,"EC",8.73885189073182
5,2013-12-29,16.068,"XC",16.4982153378215
