plot,period,treatment,DipoN,date,month,Year,Time
5,436,XC,0,3/26/2015,3,2015,16.52
7,436,XC,0,3/26/2015,3,2015,16.52
24,436,XC,1,3/26/2015,3,2015,16.52
5,437,XC,5,4/18/2015,4,2015,16.543
7,437,XC,1,4/18/2015,4,2015,16.543
24,437,XC,2,4/18/2015,4,2015,16.543
5,438,XC,7,5/16/2015,5,2015,16.571
7,438,XC,5,5/16/2015,5,2015,16.571
24,438,XC,4,5/16/2015,5,2015,16.571
5,439,XC,8,6/13/2015,6,2015,16.599
7,439,XC,7,6/13/2015,6,2015,16.599
24,439,XC,4,6/13/2015,6,2015,16.599
5,440,XC,9,7/18/2015,7,2015,16.634
7,440,XC,5,7/18/2015,7,2015,16.634
24,440,XC,5,7/18/2015,7,2015,16.634
5,441,XC,7,8/22/2015,8,2015,16.669
7,441,XC,5,8/22/2015,8,2015,16.669
24,441,XC,5,8/22/2015,8,2015,16.669
5,442,XC,9,9/12/2015,9,2015,16.69
7,442,XC,5,9/12/2015,9,2015,16.69
24,442,XC,9,9/12/2015,9,2015,16.69
5,443,XC,9,10/10/2015,10,2015,16.718
7,443,XC,7,10/10/2015,10,2015,16.718
24,443,XC,9,10/10/2015,10,2015,16.718
5,444,XC,5,11/14/2015,11,2015,16.753
7,444,XC,9,11/14/2015,11,2015,16.753
24,444,XC,9,11/14/2015,11,2015,16.753
5,444.5,XC,5,12/15/2015,12,2015,16.784
7,444.5,XC,8,12/15/2015,12,2015,16.784
24,444.5,XC,6,12/15/2015,12,2015,16.784
5,445,XC,5,1/10/2016,1,2016,16.81
7,445,XC,8,1/10/2016,1,2016,16.81
24,445,XC,6,1/10/2016,1,2016,16.81
5,446,XC,6,2/13/2016,2,2016,16.844
7,446,XC,7,2/13/2016,2,2016,16.844
24,446,XC,3,2/13/2016,2,2016,16.844
5,447,XC,11,3/19/2016,3,2016,16.879
7,447,XC,9,3/19/2016,3,2016,16.879
24,447,XC,4,3/19/2016,3,2016,16.879
5,448,XC,9,4/10/2016,4,2016,16.901
7,448,XC,12,4/10/2016,4,2016,16.901
24,448,XC,6,4/10/2016,4,2016,16.901
5,449,XC,9,5/7/2016,5,2016,16.928
7,449,XC,5,5/7/2016,5,2016,16.928
24,449,XC,8,5/7/2016,5,2016,16.928
5,450,XC,6,6/4/2016,6,2016,16.956
7,450,XC,6,6/4/2016,6,2016,16.956
24,450,XC,6,6/4/2016,6,2016,16.956
5,451,XC,5,7/2/2016,7,2016,16.984
7,451,XC,5,7/2/2016,7,2016,16.984
24,451,XC,4,7/2/2016,7,2016,16.984
5,452,XC,5,8/6/2016,8,2016,17.019
7,452,XC,5,8/6/2016,8,2016,17.019
24,452,XC,3,8/6/2016,8,2016,17.019
5,453,XC,4,9/3/2016,9,2016,17.047
7,453,XC,4,9/3/2016,9,2016,17.047
24,453,XC,4,9/3/2016,9,2016,17.047
5,454,XC,4,10/1/2016,10,2016,17.075
7,454,XC,5,10/1/2016,10,2016,17.075
24,454,XC,5,10/1/2016,10,2016,17.075
5,455,XC,6,11/5/2016,11,2016,17.11
7,455,XC,6,11/5/2016,11,2016,17.11
24,455,XC,9,11/5/2016,11,2016,17.11
5,457,XC,8,1/7/2017,12,2016,17.173
7,457,XC,3,1/7/2017,12,2016,17.173
24,457,XC,14,1/7/2017,12,2016,17.173
5,458,XC,8,1/28/2017,1,2017,17.194
7,458,XC,13,1/28/2017,1,2017,17.194
24,458,XC,7,1/28/2017,1,2017,17.194
5,459,XC,8,2/25/2017,2,2017,17.222
7,459,XC,9,2/25/2017,2,2017,17.222
24,459,XC,8,2/25/2017,2,2017,17.222
5,460,XC,10,3/28/2017,3,2017,17.253
7,460,XC,11,3/28/2017,3,2017,17.253
24,460,XC,7,3/28/2017,3,2017,17.253
5,461,XC,10,4/29/2017,4,2017,17.285
7,461,XC,13,4/29/2017,4,2017,17.285
24,461,XC,10,4/29/2017,4,2017,17.285
